full_text;id_str;topic
"This goes beyond politics. It’s a moral/ethical issue. Unfit Jordan, Nunes and crew are engaged in an effort to protect Trump-at all costs. Watch: they’re tying to invent a basis to take action against Rosenstein, ultimately Mueller. This must be seen for what it is and opposed. https://t.co/kzIFzXJDqf";"1012541569323360256";"politics"
"Nearly 200 of America's top political scientists have voted Trump the worst president in US history.

According to the 2018 Presidentsand Executive Politics Presidential Greatness Survey, Trump ranks even lower than Richard Nixon – even among conservatives. https://t.co/gkgmFj1EFE";"1012178729014054912";"politics"
"If you care about preserving your access to abortion...

If you care about protecting the rights of LGBT people to marry...

If you care about curbing the influence of money in politics...

CALL 
YOUR 
SENATOR
AND 
DEMAND 
NO 
SCOTUS 
VOTE 
UNTIL 
AFTER 
ELECTIONS: 
202-224-3121";"1012055803245842437";"politics"
"Oh, the irony... BEIS given an energy efficiency rating of G (the lowest) of all government departments...  https://t.co/YTumMOzhOd";"1012614607016550400";"politics"
"Remitting it to the senate President in Abuja!! If you doubt this, just do a little findings of politics in Kwara state, you will shocked https://t.co/K8QasJnIcj";"1012614601178013696";"politics"
"Pitbull Celebrates His Greatest Hits Album and Talks Industry, Politics and Much More  https://t.co/TlAWKtRDbQ";"1012614588737568768";"politics"
"Trump wasted no time using SCOTUS as a political weapon in the #midterms: https://t.co/aD10P5IH6A https://t.co/mqfB8Vc8PW";"1012614585310851073";"politics"
"Please read @BBCr4today @bbclaurak @bbcnickrobinson @MarrShow @AndrewMarr9 @EvanHD @BBCNewsnight @daily_politics  
Please also ask John Humphreys to read this.  Perhaps he could take note of what is happening in the world, as explained by his esteemed former colleague. https://t.co/NQz6Fn9TZk";"1012614578826510336";"politics"
"Sen. Lindsey Graham whacks Trump over attacks on John McCain - CNN Politics https://t.co/7kq4jixd6s";"1012614566889443328";"politics"
"What Happens to Families Crossing the Border: The Current Rules https://t.co/Szcu1ZcaPd https://t.co/ILcEEd04FU";"1012614566839242752";"politics"
"Once you begin to study the history and politics behind films and plays during the time of their making, you start to make connections.

#KFCBatFilmGraduation @KibetBenard_ @InfoKfcb";"1012614565513912320";"politics"
"In Wisconsin Visit, Trump Cheers One Company and Criticizes Another https://t.co/OHxUipZPXD";"1012614560078065664";"politics"
"Y’all gonna argue with a huge panel of poli-sci experts? https://t.co/RnWTr8fK2r";"1012614556437315584";"politics"
"Sketch
Napping May scores own goal in face of Belgium Brexit striker

https://t.co/RbayFkgU98";"1012614525269544962";"politics"
"This is some straight up naive shit. You'd have to know almost nothing European politics to think PR somehow stunts the far right, or 'exposes' the sham of their ideas. https://t.co/mVvl6sUxah";"1012614491853475840";"politics"
"Schumer unveils bill to decriminalize marijuana https://t.co/bjcb8bJsLn Drugs and alcohol are for those who cannot handle reality! I coined that phrase in my 20's. I was an alcoholic at the time.  I use pot for spinal stenosis not narcotics";"1012614486425993216";"politics"
"Trump's Shameful Response to the Killing of Journalists Stands in Stark Contrast to Justin Trudeau's Solemn Statement https://t.co/VRGnrrhswj";"1012614476779147265";"politics"
"Dems and Fake news DO promote Identity politics and do all they can to foster divisiveness, uncivility but when called out ct as if they're the victim 🦠brains think they're conning the great unwashed , namely the rest of us. https://t.co/rmJaUoTbr4";"1012614473704726528";"politics"
"Ex-MP Irranca-Davies joins Welsh Labour leader race - https://t.co/E2zc5BfsQe";"1012614473658589186";"politics"
